"50011790";"Municipal";"EM ISOLINO CÂNDIDO DIAS - PÓLO ";"Rural";"5000203"
"50011774";"Estadual";"EE MAL. CASTELO BRANCO ";"Urbana";"5000203"
"50027395";"Estadual";"EE CHICO MENDES ";"Urbana";"5000203"
"50011804";"Municipal";"EM LUCIANO SILVÉRIO DE OLIVEIRA ";"Urbana";"5000203"
"50029436";"Municipal";"EM MÁRCIA CRISTINA FIORATTI JAVAREZ ";"Urbana";"5000203"
"50029126";"Particular";"CEI - BRINCANDO E APRENDENDO ";"Urbana";"5000203"
"50029649";"Particular";"COLÉGIO INTEGRADO DE ÁGUA CLARA DOM BOSCO ";"Urbana";"5000203"
"50002961";"Estadual";"EE PROFª. ROMILDA COSTA CARNEIRO ";"Urbana";"5000252"
"50003062";"Municipal";"EM ALCINO CARNEIRO - PÓLO ";"Urbana";"5000252"
"50030370";"Estadual";"EE INDÍGENA MBO EROY GUARANI KAIOWÁ ";"Rural";"5000609"
"50015125";"Municipal";"EM AGROTÉCNICA LINO DO AMARAL CARDINAL ";"Rural";"5000609"
"50015141";"Municipal";"EMP INDÍGENA MBO EROY GUARANI KAIOWÁ ";"Rural";"5000609"
"50015150";"Municipal";"EM PÓLO JOÃO RODRIGUES ";"Rural";"5000609"
"50029010";"Municipal";"EM.POLO INDÍGENA MBO ERENDA TUPA I NANDEVA ";"Rural";"5000609"
"50029037";"Municipal";"EM MITÃ RORY ";"Rural";"5000609"
"50015168";"Estadual";"EE DR. FERNANDO CORRÊA DA COSTA ";"Urbana";"5000609"
"50015176";"Estadual";"EE VESPASIANO MARTINS ";"Urbana";"5000609"
"50015249";"Estadual";"EE CEL. FELIPE DE BRUM ";"Urbana";"5000609"
"50015257";"Estadual";"EE DOM AQUINO CORRÊA ";"Urbana";"5000609"
"50015222";"Municipal";"EM ANTONIO PINTO DA SILVA ";"Urbana";"5000609"
"50015230";"Municipal";"EM JULIO MANVAILER ";"Urbana";"5000609"
